origin,mqls,converted,conversion_rate,share_mql,ci_low,ci_high,sample_size_flag,actionability_flag
unknown,1159,193,0.16652286453839515,0.144875,0.14618348041015417,0.18906553901856082,strong,context_only
paid_search,1586,195,0.12295081967213115,0.19825,0.10769449118606486,0.14002924040716971,strong,actionable_candidate
organic_search,2296,271,0.11803135888501742,0.287,0.10546759655315235,0.13187113683092583,strong,actionable_candidate
direct_traffic,499,56,0.11222444889779559,0.062375,0.08743978043099307,0.14293394231727677,strong,actionable_candidate
referral,284,24,0.08450704225352113,0.0355,0.05744460092887881,0.12265961002492914,strong,actionable_candidate
social,1350,75,0.05555555555555555,0.16875,0.04455006636127891,0.0690832234293163,strong,actionable_candidate
display,118,6,0.05084745762711865,0.01475,0.023509631366969028,0.10650735114476316,strong,actionable_candidate
other_publicities,65,3,0.046153846153846156,0.008125,0.015819840413512566,0.12713847263338832,usable,actionable_candidate
email,493,15,0.030425963488843813,0.061625,0.018523723985031416,0.04958947031445481,strong,actionable_candidate
other,150,4,0.02666666666666667,0.01875,0.010417940822967993,0.06655389051214453,strong,context_only

