category,gmv_proxy,seller_count,top_10_seller_share,sample_size_flag
beleza_saude,1258681.3399999999,492,0.7436922756001132,strong
relogios_presentes,1205005.68,101,0.8051051842344844,strong
cama_mesa_banho,1036988.68,196,0.7138536073508535,strong
esporte_lazer,988048.97,481,0.6417513901158158,strong
informatica_acessorios,911954.3200000001,287,0.6790191311336734,strong
moveis_decoracao,729762.49,370,0.7117862689818436,strong
cool_stuff,635290.8499999999,267,0.7235299076005893,strong
utilidades_domesticas,632248.6599999999,468,0.6096765630155705,strong
automotivo,592720.1100000001,383,0.6863036923110302,strong
ferramentas_jardim,485256.45999999996,237,0.7348605312745347,strong
brinquedos,483946.6,252,0.6511730839724879,strong
bebes,411764.88999999996,244,0.7220497357120469,strong
perfumaria,399124.87,175,0.8046874653538879,strong
telefonia,323667.53,149,0.6647499055589544,strong
moveis_escritorio,273960.7,34,0.8468556621442416,usable
papelaria,230943.22999999998,173,0.7159552587880582,strong
pcs,222963.13,9,0.7484275539188924,insufficient
pet_shop,214315.40999999997,137,0.557881815404688,strong
instrumentos_musicais,191498.87999999998,70,0.6402894888993608,usable
eletroportateis,190648.58,105,0.673918630812776,strong
unknown,179535.27999999997,257,0.695902610339316,strong
eletronicos,160246.74000000002,149,0.5632568874724065,strong
consoles_games,157465.22,82,0.655249013083651,usable
fashion_bolsas_e_acessorios,152823.54,99,0.5949444699422615,usable
construcao_ferramentas_construcao,144677.58999999997,128,0.685115642305073,strong
malas_acessorios,140429.97999999998,73,0.6854356883053034,usable
eletrodomesticos_2,113317.74,46,0.5831200834044168,usable
casa_construcao,83088.12,68,0.5745083653355016,usable
eletrodomesticos,80171.53,48,0.7479604043979201,usable
agro_industria_e_comercio,72530.47,34,0.7365847760258549,usable
moveis_sala,68916.56,56,0.6539053893577973,usable
telefonia_fixa,59583.0,49,0.6711875870634242,usable
casa_conforto,58572.04,20,0.8711955397148535,small
climatizacao,55024.96,52,0.5302199220135735,usable
audio,50688.500000000015,36,0.729526223896939,usable
portateis_casa_forno_e_cafe,47445.71000000001,15,0.8391190689316271,small
livros_interesse_geral,46856.88,54,0.7528367232303984,usable
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,52,0.48590313019862336,usable
construcao_ferramentas_iluminacao,41080.0,37,0.7185608568646543,usable
construcao_ferramentas_seguranca,40544.520000000004,35,0.7086851687971644,usable
industria_comercio_e_negocios,39669.61,29,0.4474442778741711,small
alimentos,29393.41,58,0.6501926792434086,usable
market_place,28378.47,59,0.5799593847025579,usable
construcao_ferramentas_jardim,25715.89,33,0.6683377475949694,usable
artes,24202.64,36,0.7806140156611017,usable
fashion_calcados,23562.770000000004,15,0.7830598864225214,small
bebidas,22428.7,36,0.6543714080619921,usable
sinalizacao_e_seguranca,21509.23,46,0.48100280670205303,usable
moveis_quarto,20028.78,23,0.558276639915162,small
livros_tecnicos,19096.06,26,0.5287823770976838,small
construcao_ferramentas_ferramentas,15903.95,24,0.6180854441821056,small
alimentos_bebidas,15179.480000000001,34,0.5888660217609561,usable
fashion_roupa_masculina,10797.819999999998,13,0.5703178975015328,small
fashion_underwear_e_moda_praia,9541.550000000001,9,0.44384822172498184,insufficient
artigos_de_natal,8800.820000000002,17,0.5235421244838548,small
tablets_impressao_imagem,7528.41,6,0.6633273161265129,insufficient
cine_foto,6933.46,14,0.4365886584764317,small
musica,6034.349999999999,19,0.4113069344668441,small
dvds_blu_ray,5999.389999999999,10,0.47338146044847895,small
livros_importados,4639.85,7,0.4407470069075509,insufficient
artigos_de_festas,4485.18,12,0.6511667313240496,small
moveis_colchao_e_estofado,4368.08,5,0.4258163769894324,insufficient
portateis_cozinha_e_preparadores_de_alimentos,3968.53,5,0.7703104172073789,insufficient
fashion_roupa_feminina,2803.64,11,0.4149748184503003,small
fashion_esporte,2119.5099999999998,10,0.4099060631938514,small
la_cuisine,2054.99,2,0.941610421461905,insufficient
artes_e_artesanato,1814.0100000000002,13,0.5222848826632709,small
fraldas_higiene,1567.59,8,0.3247022499505611,insufficient
pc_gamer,1545.95,2,0.5795788997056825,insufficient
flores,1110.04,3,0.5133148355014233,insufficient
casa_conforto_2,760.27,4,0.4411590619122154,insufficient
cds_dvds_musicais,730.0,1,1.0,insufficient
fashion_roupa_infanto_juvenil,569.85,4,0.38606650873036763,insufficient
seguros_e_servicos,283.28999999999996,2,0.6470048360337464,insufficient

