seller_state,gmv_proxy,seller_count,gmv_share,gmv_per_seller,cumulative_gmv_share
SP,8753396.21,1849,0.6440277867201596,4734.124505137913,0.6440277867201596
PR,1261887.21,349,0.09284287006434695,3615.722664756447,0.7368706567845066
MG,1011564.74,244,0.07442548983240341,4145.757131147541,0.81129614661691
RJ,843984.22,171,0.06209581700556202,4935.580233918128,0.8733919636224721
SC,632426.07,190,0.04653050682898639,3328.5582631578945,0.9199224704514585
RS,378559.54,129,0.02785237373460577,2934.5700775193795,0.9477748441860642
BA,285561.56,19,0.021010082834940706,15029.555789473685,0.9687849270210049
DF,97749.48,30,0.00719188069946242,3258.316,0.9759768077204674
PE,91493.84999999999,9,0.006731625108742366,10165.983333333332,0.9827084328292097
GO,66399.21,40,0.004885296544376013,1659.98025,0.9875937293735858
ES,47689.61,23,0.0035087448621096504,2073.461304347826,0.9911024742356954
MA,36408.95,1,0.002678774606194245,36408.95,0.9937812488418896
CE,20240.64,13,0.0014891973661728638,1556.9723076923076,0.9952704462080625
PB,17095.0,6,0.0012577581032380946,2849.1666666666665,0.9965282043113006
MT,17070.72,4,0.0012559717115009422,4267.68,0.9977841760228016
RN,9992.6,5,0.0007352017328117569,1998.52,0.9985193777556133
MS,8551.69,5,0.0006291873292705576,1710.3380000000002,0.9991485650848838
RO,4762.2,2,0.0003503770482152942,2381.1,0.9994989421330991
PI,2522.0,1,0.00018555518785413715,2522.0,0.9996844973209532
SE,1606.2,2,0.00011817555223287672,803.1,0.999802672873186
PA,1238.0,1,9.108537770159469e-05,1238.0,0.9998937582508877
AM,1177.0,1,8.659732597316393e-05,1177.0,0.9999803555768608
AC,267.0,1,1.9644423139196916e-05,267.0,1.0

