segment,n_orders,late_orders,on_time_orders,late_rate,late_rate_ci_low,late_rate_ci_high,late_review_penalty,penalty_ci_low,penalty_ci_high,sample_size_flag
SP,40267,2349,37918,0.0583356098045546,0.05608823737455986,0.060667243476978945,-1.4207324409189228,-1.4878368273061555,-1.3489013550694664,strong
RJ,12214,1623,10591,0.1328803012935975,0.1269756729409522,0.13901578469696513,-2.1137403600041025,-2.1909570267493073,-2.0280087421788795,strong
MG,11286,623,10663,0.05520113414850257,0.05113718567327881,0.059567775364433515,-1.6103059001973343,-1.7427020916901261,-1.4799020525063116,strong
RS,5326,378,4948,0.07097258730754788,0.06438120460530135,0.07818240909528708,-1.8029790241795092,-1.9485694610189355,-1.632687877203338,strong
PR,4900,241,4659,0.049183673469387755,0.04347397563874518,0.055599671603009715,-1.3888115537767,-1.595556619098893,-1.1646456151882008,strong
SC,3520,339,3181,0.09630681818181819,0.08699651334262913,0.106497282217879,-1.6708851133991551,-1.8458750981815883,-1.503478213192453,strong
BA,3229,443,2786,0.13719417776401363,0.12575757378545094,0.14949299762527912,-1.581522170672777,-1.7486034351862503,-1.4284846211872,strong
DF,2070,147,1923,0.07101449275362319,0.06072611743005526,0.08289212183017439,-1.8502446220297797,-2.1132879907033013,-1.5517853163106117,strong
ES,1969,234,1735,0.11884205180294566,0.105285425719018,0.133883036962594,-1.5333271755461952,-1.744137047710535,-1.3198116025025248,strong
GO,1946,155,1791,0.07965056526207605,0.06843257014394047,0.09252485406146757,-1.722130365087084,-1.979718890149673,-1.4860064660218657,strong
PE,1579,168,1411,0.10639645345155162,0.09213143206671992,0.12257197801068295,-2.017899328406061,-2.2444869815396036,-1.7412479750936523,strong
CE,1273,194,1079,0.15239591516103693,0.13370052751752184,0.17318288084439296,-2.05991611171092,-2.273609823911029,-1.8285342002426836,strong
PA,933,111,822,0.1189710610932476,0.09974315322629895,0.14132373882284852,-2.0247254553823892,-2.288798743999474,-1.7290187084895117,strong
MT,879,58,821,0.06598407281001138,0.0513882134088576,0.08435695082570294,-1.5963501197026333,-2.018900415809148,-1.158207505565123,strong
MA,712,137,575,0.19241573033707865,0.16514208077661538,0.22299059217365116,-1.773322754681054,-2.04794287527769,-1.4674370041256746,strong
MS,699,81,618,0.11587982832618025,0.09422283011937295,0.14173573029190595,-1.7451755963082825,-2.1195860302049625,-1.3712131427544048,strong
PB,512,55,457,0.107421875,0.08346452814467004,0.13722626138774963,-1.7964193355878262,-2.2256017505470456,-1.3609100855380947,strong
PI,471,75,396,0.1592356687898089,0.12896694173729684,0.19501795040495923,-1.8478787878787881,-2.21040404040404,-1.4927803030303033,strong
RN,471,50,421,0.10615711252653928,0.08145436860883876,0.13723222012878436,-2.3602375296912115,-2.726001187648456,-1.9626781472684085,strong
AL,394,92,302,0.233502538071066,0.19442484708225968,0.2777266963428656,-1.9917938381802474,-2.3132684278721567,-1.6536027929743735,strong
SE,334,50,284,0.1497005988023952,0.11543149451391034,0.19193592919771568,-2.313521126760563,-2.7193521126760563,-1.8842535211267606,strong
TO,273,35,238,0.1282051282051282,0.09364616845327155,0.17308215733741172,-1.0941176470588232,-1.6529621848739495,-0.5498109243697479,strong

