seller_state,gmv_proxy,orders,active_sellers,gmv_share
SP,8753396.21,70188,1849,0.6440277867201596
PR,1261887.21,7673,349,0.09284287006434695
MG,1011564.74,7930,244,0.07442548983240341
RJ,843984.22,4353,171,0.06209581700556202
SC,632426.07,3667,190,0.04653050682898639
RS,378559.54,1989,129,0.02785237373460577
BA,285561.56,569,19,0.021010082834940706
DF,97749.48,824,30,0.00719188069946242
PE,91493.85,406,9,0.0067316251087423664
GO,66399.21,463,40,0.004885296544376013
ES,47689.61,318,23,0.0035087448621096504
MA,36408.95,392,1,0.002678774606194245
CE,20240.64,91,13,0.0014891973661728638
PB,17095.0,36,6,0.0012577581032380946
MT,17070.72,137,4,0.0012559717115009422
RN,9992.6,51,5,0.0007352017328117569
MS,8551.69,49,5,0.0006291873292705576
RO,4762.2,14,2,0.0003503770482152942
PI,2522.0,12,1,0.00018555518785413715
SE,1606.2,9,2,0.00011817555223287672
PA,1238.0,8,1,9.108537770159469e-05
AM,1177.0,3,1,8.659732597316393e-05
AC,267.0,1,1,1.9644423139196916e-05
