purchase_date,gmv_proxy,orders,items,active_sellers,active_customers,aov,late_orders,late_delivery_rate,avg_review_score
2016-09-04,72.89,1,2,1,1,72.89,0,,1.0
2016-09-05,59.5,1,1,1,1,59.5,0,,1.0
2016-09-15,134.97,1,3,1,1,134.97,1,1.0,1.0
2016-10-02,100.0,1,1,1,1,100.0,0,,1.0
2016-10-03,463.48,8,8,7,8,57.935,0,0.0,3.0
2016-10-04,9940.960000000001,60,69,39,60,165.68266666666668,2,0.037037037037037035,3.634920634920635
2016-10-05,8343.25,42,56,34,42,198.64880952380952,0,0.0,3.2222222222222223
2016-10-06,7960.51,49,58,40,49,162.45938775510206,0,0.0,3.450980392156863
2016-10-07,7228.05,45,52,36,45,160.62333333333333,0,0.0,3.5681818181818183
2016-10-08,8441.85,40,45,32,39,211.04625000000001,0,0.0,3.9523809523809526
2016-10-09,3336.99,26,34,25,26,128.34576923076924,0,0.0,3.6153846153846154
2016-10-10,3692.57,37,40,31,36,99.79918918918919,1,0.029411764705882353,3.763157894736842
2016-12-23,10.9,1,1,1,1,10.9,0,0.0,5.0
2017-01-05,396.90000000000003,32,32,3,18,12.403125000000001,0,0.0,4.90625
2017-01-06,916.38,4,4,4,4,229.095,0,0.0,4.75
2017-01-07,1351.9,4,5,4,4,337.975,1,0.25,3.0
2017-01-08,709.58,6,6,5,5,118.26333333333334,0,0.0,3.3333333333333335
2017-01-09,673.79,5,6,5,5,134.75799999999998,2,0.4,3.4
2017-01-10,1434.87,6,6,5,6,239.14499999999998,0,0.0,3.5
2017-01-11,2776.16,12,12,10,12,231.34666666666666,0,0.0,3.8333333333333335
2017-01-12,2234.58,13,15,10,13,171.89076923076922,2,0.16666666666666666,3.8461538461538463
2017-01-13,2505.58,11,11,8,11,227.78,0,0.0,4.363636363636363
2017-01-14,1112.69,18,18,10,17,61.81611111111111,1,0.0625,3.588235294117647
2017-01-15,2199.57,14,21,10,13,157.11214285714286,0,0.0,4.5
2017-01-16,3307.92,19,24,14,18,174.10105263157894,0,0.0,4.055555555555555
2017-01-17,3302.5299999999997,32,37,25,31,103.20406249999999,0,0.0,4.265625
2017-01-18,4032.36,33,35,30,33,122.19272727272728,1,0.03333333333333333,3.8
2017-01-19,3553.9500000000003,29,35,23,28,122.55000000000001,1,0.034482758620689655,4.068965517241379
2017-01-20,4035.83,28,39,23,28,144.1367857142857,0,0.0,4.482758620689655
2017-01-21,2458.6,24,36,18,21,102.44166666666666,0,0.0,3.7083333333333335
2017-01-22,3619.27,30,33,21,30,120.64233333333333,0,0.0,3.903225806451613
2017-01-23,6581.47,39,54,34,39,168.75564102564104,2,0.05555555555555555,3.6923076923076925
2017-01-24,5955.17,40,44,34,40,148.87925,0,0.0,4.275
2017-01-25,8977.23,62,69,45,62,144.7940322580645,1,0.017543859649122806,3.7936507936507935
2017-01-26,13157.66,85,100,65,82,154.796,4,0.04878048780487805,4.244186046511628
2017-01-27,11432.95,61,76,51,60,187.4254098360656,0,0.0,4.080645161290323
2017-01-28,5211.01,29,30,27,29,179.69,0,0.0,4.068965517241379
2017-01-29,6457.66,35,47,26,34,184.50457142857144,2,0.0625,4.314285714285714
2017-01-30,10801.13,51,75,36,49,211.78686274509803,0,0.0,3.980392156862745
2017-01-31,11116.130000000001,67,85,50,65,165.9123880597015,6,0.09375,3.9705882352941178
2017-02-01,8219.75,67,70,53,65,122.68283582089552,1,0.01639344262295082,3.7945205479452055
2017-02-02,8917.64,68,75,50,68,131.14176470588234,3,0.04477611940298507,4.333333333333333
2017-02-03,10183.74,57,62,40,57,178.66210526315788,2,0.037037037037037035,3.9833333333333334
2017-02-04,13968.16,66,72,51,66,211.63878787878787,2,0.03125,4.074626865671642
2017-02-05,8503.79,75,83,52,74,113.38386666666668,1,0.013513513513513514,4.216216216216216
2017-02-06,9539.44,81,88,61,79,117.77086419753087,3,0.038461538461538464,4.096385542168675
2017-02-07,14143.48,111,127,78,107,127.41873873873874,2,0.018518518518518517,4.232142857142857
2017-02-08,11958.27,90,99,69,90,132.86966666666666,1,0.012048192771084338,4.105263157894737
2017-02-09,9190.29,77,82,61,76,119.35441558441559,4,0.0547945205479452,4.026666666666666
2017-02-10,14222.64,66,74,54,66,215.49454545454546,2,0.031746031746031744,4.181818181818182
2017-02-11,4307.56,45,51,42,45,95.72355555555556,2,0.044444444444444446,4.061224489795919
2017-02-12,15126.15,63,66,52,63,240.09761904761905,1,0.01639344262295082,4.190476190476191
2017-02-13,10785.15,76,88,58,76,141.90986842105264,1,0.013513513513513514,3.730769230769231
2017-02-14,12694.11,71,80,62,70,178.79028169014086,2,0.030303030303030304,3.8552631578947367
2017-02-15,6770.15,60,63,51,60,112.83583333333333,0,0.0,4.032786885245901
2017-02-16,6348.04,52,57,45,52,122.0776923076923,1,0.02040816326530612,4.109090909090909
2017-02-17,6801.26,45,56,40,45,151.1391111111111,2,0.044444444444444446,4.021739130434782
2017-02-18,7297.33,52,63,38,50,140.33326923076922,1,0.019230769230769232,4.2075471698113205
2017-02-19,3797.9,40,44,33,39,94.9475,0,0.0,3.4
2017-02-20,7878.3,63,72,56,63,125.05238095238096,5,0.0847457627118644,3.9193548387096775
2017-02-21,8285.64,41,47,37,41,202.08878048780485,1,0.02564102564102564,4.025
2017-02-22,8033.05,61,68,53,59,131.6893442622951,2,0.03773584905660377,3.7142857142857144
2017-02-23,6940.82,59,73,50,57,117.64101694915254,2,0.03508771929824561,4.101694915254237
2017-02-24,6682.21,62,73,51,62,107.7775806451613,3,0.05,4.190476190476191
2017-02-25,4196.59,42,46,33,42,99.91880952380953,0,0.0,3.6511627906976742
2017-02-26,5446.68,45,52,40,45,121.03733333333334,2,0.047619047619047616,3.739130434782609
2017-02-27,5844.12,43,53,39,43,135.90976744186045,3,0.07317073170731707,4.119047619047619
2017-02-28,11220.76,55,67,46,55,204.01381818181818,4,0.07547169811320754,3.8
2017-03-01,12555.41,95,113,70,94,132.1622105263158,4,0.043010752688172046,4.0
2017-03-02,11377.0,68,76,54,68,167.30882352941177,5,0.07575757575757576,4.085714285714285
2017-03-03,12364.44,72,80,51,69,171.72833333333335,4,0.05555555555555555,4.148648648648648
