"Cohort","SellersClosed","Activated30D","Activated60D","Activated90D","Activation30Rate","Activation60Rate","Activation90Rate","MedianDaysToActivate","ClosedSellersSummary","Activation30RateSummary","Activation60RateSummary","Activation90RateSummary","MedianActivationDaysSummary"
"2017-12","3","0","1","1","0","0.3333333333333333","0.3333333333333333","44.04554398148148","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-01","73","13","21","32","0.1780821917808219","0.2876712328767123","0.4383561643835616","54.2637731481481","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-02","113","16","30","44","0.1415929203539823","0.26548672566371684","0.3893805309734513","60.976724537037","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-03","147","27","49","61","0.1836734693877551","0.3333333333333333","0.41496598639455784","42.878900462963","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-04","207","34","66","89","0.1642512077294686","0.3188405797101449","0.42995169082125606","47.6715509259259","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-05","122","21","46","62","0.1721311475409836","0.3770491803278688","0.5081967213114754","39.1183449074074","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-06","57","8","22","23","0.14035087719298245","0.38596491228070173","0.40350877192982454","38.0757175925926","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-07","37","9","10","10","0.24324324324324326","0.2702702702702703","0.2702702702702703","15.8047453703704","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-08","33","2","2","2","0.06060606060606061","0.06060606060606061","0.06060606060606061","10.8650694444444","842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-09","23","0","0","0","0","0","0",,"842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-10","21","0","0","0","0","0","0",,"842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
"2018-11","4","0","0","0","0","0","0",,"842","0.15757575757575756","0.30759651307596514","0.4213263979193758","44.293130787037036"
