origin,activation_eligible_n,observed_activated_n,censored_n,observed_activator_median_days,sample_size_flag,metric_version,eligible_n_le_7d,activated_n_le_7d,rate_le_7d,ci_low_le_7d,ci_high_le_7d,eligible_n_le_30d,activated_n_le_30d,rate_le_30d,ci_low_le_30d,ci_high_le_30d,eligible_n_le_60d,activated_n_le_60d,rate_le_60d,ci_low_le_60d,ci_high_le_60d,eligible_n_le_90d,activated_n_le_90d,rate_le_90d,ci_low_le_90d,ci_high_le_90d
organic_search,270,113,157,44.35402777777778,strong,v3,269,3,0.011152416356877323,0.003799940294825166,0.03227030673886237,263,43,0.1634980988593156,0.12370650950381931,0.21297827410420198,256,71,0.27734375,0.22610219451112512,0.3351687415535207,244,91,0.3729508196721312,0.3146821306775759,0.43515794735047053
paid_search,194,101,93,44.69736111111112,strong,v3,194,2,0.010309278350515464,0.002831743806059401,0.036803319882997426,191,32,0.16753926701570682,0.12124774421339612,0.22694026069743906,182,70,0.38461538461538464,0.3170137161838059,0.4569871969250233,171,93,0.543859649122807,0.46906215053943956,0.6167298584106974
unknown,193,85,108,42.09099537037037,strong,v3,192,5,0.026041666666666668,0.01117360901615741,0.05950324819295327,189,30,0.15873015873015872,0.1135065321415808,0.21755017740164323,187,53,0.28342245989304815,0.22369530486757036,0.3518686187130816,183,71,0.3879781420765027,0.32037210319103393,0.4601905178739921
social,75,31,44,42.690439814814816,usable,v3,75,0,0.0,3.469446951953614e-18,0.04872384248280587,75,7,0.09333333333333334,0.04594852339060043,0.18034686849541504,73,23,0.3150684931506849,0.2200362486393722,0.4285909323853502,68,29,0.4264705882352941,0.3159724314773308,0.5448321768344444
direct_traffic,56,31,25,49.410578703703706,usable,v3,56,1,0.017857142857142856,0.0031592103419746734,0.09445637149397576,55,11,0.2,0.11552214909761245,0.32364879157263937,54,18,0.3333333333333333,0.22241416537492573,0.46639036398870637,54,25,0.46296296296296297,0.336899011179811,0.5939464397898851
referral,24,9,15,28.944444444444443,small,v3,24,2,0.08333333333333333,0.023158815297043306,0.25848802193210685,24,5,0.20833333333333334,0.09244825352851857,0.40470453253188665,24,5,0.20833333333333334,0.09244825352851857,0.40470453253188665,22,8,0.36363636363636365,0.19733204670366125,0.5704829190986899
email,15,6,9,51.820086805555555,small,v3,15,1,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,1,0.06666666666666667,0.011866895493268553,0.2981652987378003,14,5,0.35714285714285715,0.1634473175355414,0.612355768960926,14,5,0.35714285714285715,0.1634473175355414,0.612355768960926
display,6,2,4,80.41219328703703,insufficient,v3,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,6,1,0.16666666666666666,0.030053369748306635,0.5635028221864702,6,1,0.16666666666666666,0.030053369748306635,0.5635028221864702
other,4,2,2,55.38440393518519,insufficient,v3,4,1,0.25,0.04558726080970055,0.6993581574175981,4,1,0.25,0.04558726080970055,0.6993581574175981,4,1,0.25,0.04558726080970055,0.6993581574175981,4,1,0.25,0.04558726080970055,0.6993581574175981
other_publicities,3,0,3,,insufficient,v3,3,0,0.0,5.551115123125783e-17,0.5614970317550454,3,0,0.0,5.551115123125783e-17,0.5614970317550454,3,0,0.0,5.551115123125783e-17,0.5614970317550454,3,0,0.0,5.551115123125783e-17,0.5614970317550454
