origin,eligible_n,retained_m3,m3_retention_rate,ci_low,ci_high,sample_size_flag
organic_search,88,38,0.4318181818181818,0.33332677056322896,0.5360132839819837,usable
paid_search,73,34,0.4657534246575342,0.35592041663948065,0.5790105428095418,usable
unknown,60,31,0.5166666666666667,0.39307810032592494,0.6382495046026722,usable
direct_traffic,22,9,0.4090909090909091,0.2325581619647187,0.6126518152368488,small
social,22,7,0.3181818181818182,0.1636059318135624,0.5268140225895723,small
referral,8,4,0.5,0.21521606221387757,0.7847839377861224,insufficient
email,5,1,0.2,0.03622410863243014,0.6244653702374747,insufficient
other,2,2,1.0,0.34238022750665303,1.0,insufficient
display,1,1,1.0,0.20654931437723745,1.0,insufficient

