cohort_month,cohort_sellers,eligible_m1,eligible_m3,eligible_m6
2016-09,3,3,3,3
2016-10,141,141,141,141
2016-12,1,1,1,1
2017-01,151,151,151,151
2017-02,228,228,228,228
2017-03,173,173,173,173
2017-04,116,116,116,116
2017-05,124,124,124,124
2017-06,76,76,76,76
2017-07,115,115,115,115
2017-08,129,129,129,129
2017-09,127,127,127,127
2017-10,147,147,147,147
2017-11,190,190,190,190
2017-12,90,90,90,90
2018-01,141,141,141,141
2018-02,120,120,120,120
2018-03,113,113,113,113
2018-04,202,202,202,0
2018-05,172,172,172,0
2018-06,191,191,191,0
2018-07,190,190,0,0
2018-08,155,155,0,0

