purchase_month,gmv_proxy,orders,aov,active_sellers,seller_productivity,volume_effect,aov_effect,seller_count_effect,productivity_effect
2016-09,267.36,3,89.12,3,89.12,,,,
2016-10,49507.66,308,160.73915584415585,143,346.2074125874126,27181.600000000002,22058.7,12476.800000000001,36763.5
2016-12,10.9,1,10.9,1,10.9,-49346.920844155844,-149.83915584415584,-49161.45258741259,-335.3074125874126
2017-01,120312.87,789,152.4877946768061,227,530.0126431718062,8589.2,111712.77,2463.4,117838.57
2017-02,247303.02,1733,142.70226197345642,427,579.163981264637,143948.47817490494,-16958.328174904986,106002.52863436124,20987.621365638737
2017-03,374344.3,2641,141.74339265429762,499,750.1889779559118,129573.65387189842,-2532.373871898374,41699.80665105386,85341.47334894615
2017-04,359927.23,2391,150.53418235048096,506,711.3186363636363,-35435.8481635744,21018.778163574363,5251.322845691383,-19668.392845691407
2017-05,506071.14,3660,138.27080327868853,583,868.0465523156089,191027.87740276035,-44883.96740276029,54771.534999999996,91372.37500000001
2017-06,433038.6,3217,134.6094497979484,539,803.4111317254174,-61253.96585245902,-11778.574147541005,-38194.04830188679,-34838.491698113234
2017-07,498031.48,3969,125.48034265558074,606,821.8341254125412,101226.3062480572,-36233.426248057236,53828.54582560297,11164.334174397045
2017-08,573971.68,4293,133.69943629163757,708,810.6944632768362,40655.63102040816,35284.56897959195,83827.0807920792,-7886.880792079106
2017-09,624401.6900000001,4243,147.1604265849635,731,854.1746785225719,-6684.971814581879,57114.98181458188,18645.972655367234,31784.03734463274
2017-10,664219.43,4568,145.40705560420315,776,855.9528737113403,47827.13864011313,-8009.398640113221,38437.86053351573,1379.8794664843172
2017-11,1010271.37,7451,135.58869547711717,965,1046.9133367875647,419208.5413069177,-73156.60130691764,161775.0931314433,184276.84686855655
2017-12,743914.17,5624,132.27492354196303,861,864.01181184669,-247720.54663669306,-18636.65336330686,-108878.98702590674,-157478.21297409319
2018-01,950030.36,7220,131.58315235457064,970,979.4127422680413,211110.777972973,-4994.5879729730605,94177.2874912892,111938.90250871076
2018-02,844178.71,6694,126.10975649835673,947,891.42419218585,-69212.73813850415,-36638.91186149593,-22526.49307216495,-83325.15692783515
2018-03,983213.4400000001,7188,136.78539788536452,996,987.1620883534138,62298.21971018823,76736.51028981197,43679.78541710665,95354.94458289354
2018-04,996647.75,6934,143.73345111047016,1123,887.4868655387355,-34743.49106288259,48177.8010628825,125369.58522088354,-111935.27522088368
2018-05,996517.68,6853,145.41334889829272,1115,893.7378295964126,-11642.409539948083,11512.339539948061,-7099.894924309884,6969.824924309897
2018-06,865124.31,6160,140.44225811688312,1175,736.2760085106383,-100771.45078651686,-30621.91921348314,53624.269775784756,-185017.6397757847
2018-07,895507.22,6273,142.75581380519688,1261,710.1563996827914,15869.975167207793,14512.934832792187,63319.7367319149,-32936.826731914996
2018-08,854686.33,6452,132.46843304401736,1278,668.7686463223787,25553.290671130242,-66374.18067113026,12072.658794607454,-52893.54879460745
2018-09,145.0,1,145.0,1,145.0,-854553.861566956,12.53156695598264,-854017.5613536775,-523.7686463223787
