from_month,to_month,gmv_delta,seller_count_effect,productivity_effect,orders_delta,aov_effect,volume_effect
2017-01,2017-02,126990.15,110917.66244364431,16072.487556355662,980,-14779.280515449429,141769.43051544947
2017-02,2017-03,127041.28,47856.70653193975,79184.57346806026,902,1432.8964585291383,125608.3835414708
2017-03,2017-04,-14417.070000000007,5115.276650118419,-19532.346650118445,-278,25795.170319133198,-40212.24031913316
2017-04,2017-05,146143.91000000003,60805.55976415094,85338.35023584908,1296,-39505.581834653894,185649.49183465398
2017-05,2017-06,-73032.54000000004,-36772.06904890258,-36260.47095109745,-455,-11556.594906446562,-61475.94509355349
2017-06,2017-07,64992.880000000005,54445.71611412161,10547.163885878395,781,-35424.876822265454,100417.75682226544
2017-07,2017-08,75940.20000000007,83258.95802315825,-7318.758023158154,305,36865.10078958609,39075.099210414
2017-08,2017-09,50430.01000000001,19145.995130693194,31284.01486930678,-46,56829.63068086228,-6399.6206808622655
2017-09,2017-10,39817.73999999999,38477.869925263025,1339.8700747370272,346,-10204.683373386275,50022.42337338624
2017-10,2017-11,346051.93999999994,179820.85689214652,166231.08310785337,2913,-57902.7182450556,403954.6582450555
2017-11,2017-12,-266357.19999999995,-99368.10772898124,-166989.09227101866,-1871,-18403.286877348153,-247953.9131226517
2017-12,2018-01,206116.18999999994,100466.63819925285,105649.55180074711,1596,-2823.0070266920216,208939.19702669178
2018-01,2018-02,-105851.65000000002,-21514.62474621975,-84337.02525378036,-541,-36558.03933161515,-69293.61066838479
2018-02,2018-03,139034.7300000001,46025.36387321196,93009.36612678824,483,75804.82061569646,63229.909384303595
2018-03,2018-04,13434.30999999994,119040.20857215147,-105605.89857215161,-272,51511.453035439976,-38077.14303543995
2018-04,2018-05,-130.06999999994878,-7124.898780540592,6994.828780540605,-66,9394.392870272151,-9524.462870272084
2018-05,2018-06,-131393.37,48900.41514321153,-180293.78514321145,-706,-30691.983017223847,-100701.38698277615
2018-06,2018-07,30382.909999999916,62196.59355231748,-31813.68355231758,125,12719.936325849954,17662.97367414986
2018-07,2018-08,-40820.890000000014,11720.862891043946,-52541.75289104394,220,-70913.87971720843,30092.989717208467

