origin_group,mqls,converted_sellers,conversion_rate,matched_sellers,downstream_gmv_proxy,downstream_orders,gmv_per_matched_seller
direct_traffic,499,56,0.11222444889779559,56,21903.9,193.0,391.1410714285715
display,118,6,0.05084745762711865,6,923.0,7.0,153.83333333333334
email,493,15,0.030425963488843813,15,8484.99,22.0,565.6659999999999
organic_search,2296,271,0.11803135888501742,271,207023.45,1208.0,763.9241697416975
other,150,4,0.02666666666666667,4,6888.650000000001,89.0,1722.1625000000001
other_publicities,65,3,0.046153846153846156,3,0.0,0.0,0.0
paid_search,1586,195,0.12295081967213115,195,155277.05,1247.0,796.292564102564
referral,284,24,0.08450704225352113,24,17887.15,69.0,745.2979166666668
social,1350,75,0.05555555555555555,75,43477.99,392.0,579.7065333333333
unknown,1159,193,0.16652286453839515,193,214985.3,1291.0,1113.9134715025907
