cohort_month,age_month,eligible_flag,cohort_sellers,retained_sellers,retention_rate
2016-09,0,1,3,3.0,1.0
2016-09,1,1,3,2.0,0.6666666666666666
2016-09,2,1,3,0.0,0.0
2016-09,3,1,3,0.0,0.0
2016-09,4,1,3,1.0,0.3333333333333333
2016-09,5,1,3,1.0,0.3333333333333333
2016-09,6,1,3,1.0,0.3333333333333333
2016-10,0,1,141,141.0,1.0
2016-10,1,1,141,0.0,0.0
2016-10,2,1,141,0.0,0.0
2016-10,3,1,141,74.0,0.524822695035461
2016-10,4,1,141,91.0,0.6453900709219859
2016-10,5,1,141,81.0,0.574468085106383
2016-10,6,1,141,77.0,0.5460992907801419
2016-12,0,1,1,1.0,1.0
2016-12,1,1,1,1.0,1.0
2016-12,2,1,1,0.0,0.0
2016-12,3,1,1,0.0,0.0
2016-12,4,1,1,0.0,0.0
2016-12,5,1,1,0.0,0.0
2016-12,6,1,1,0.0,0.0
2017-01,0,1,151,151.0,1.0
2017-01,1,1,151,107.0,0.7086092715231788
2017-01,2,1,151,105.0,0.695364238410596
2017-01,3,1,151,90.0,0.5960264900662252
2017-01,4,1,151,96.0,0.6357615894039735
2017-01,5,1,151,87.0,0.5761589403973509
2017-01,6,1,151,75.0,0.4966887417218543
2017-02,0,1,228,228.0,1.0
2017-02,1,1,228,139.0,0.6096491228070176
2017-02,2,1,228,122.0,0.5350877192982456
2017-02,3,1,228,123.0,0.5394736842105263
2017-02,4,1,228,101.0,0.44298245614035087
2017-02,5,1,228,111.0,0.4868421052631579
2017-02,6,1,228,111.0,0.4868421052631579
2017-03,0,1,173,173.0,1.0
2017-03,1,1,173,100.0,0.5780346820809249
2017-03,2,1,173,94.0,0.5433526011560693
2017-03,3,1,173,85.0,0.4913294797687861
2017-03,4,1,173,79.0,0.45664739884393063
2017-03,5,1,173,83.0,0.4797687861271676
2017-03,6,1,173,77.0,0.44508670520231214
2017-04,0,1,116,116.0,1.0
2017-04,1,1,116,63.0,0.5431034482758621
2017-04,2,1,116,55.0,0.47413793103448276
2017-04,3,1,116,58.0,0.5
2017-04,4,1,116,57.0,0.49137931034482757
2017-04,5,1,116,52.0,0.4482758620689655
2017-04,6,1,116,44.0,0.3793103448275862
2017-05,0,1,124,124.0,1.0
2017-05,1,1,124,62.0,0.5
2017-05,2,1,124,62.0,0.5
2017-05,3,1,124,64.0,0.5161290322580645
2017-05,4,1,124,58.0,0.46774193548387094
2017-05,5,1,124,53.0,0.4274193548387097
2017-05,6,1,124,54.0,0.43548387096774194
2017-06,0,1,76,76.0,1.0
2017-06,1,1,76,32.0,0.42105263157894735
2017-06,2,1,76,31.0,0.40789473684210525
2017-06,3,1,76,36.0,0.47368421052631576
2017-06,4,1,76,24.0,0.3157894736842105
2017-06,5,1,76,29.0,0.3815789473684211
2017-06,6,1,76,28.0,0.3684210526315789
2017-07,0,1,115,115.0,1.0
2017-07,1,1,115,78.0,0.6782608695652174
2017-07,2,1,115,71.0,0.6173913043478261
2017-07,3,1,115,70.0,0.6086956521739131
2017-07,4,1,115,78.0,0.6782608695652174
2017-07,5,1,115,70.0,0.6086956521739131
2017-07,6,1,115,65.0,0.5652173913043478
2017-08,0,1,129,129.0,1.0
2017-08,1,1,129,70.0,0.5426356589147286
2017-08,2,1,129,60.0,0.46511627906976744
2017-08,3,1,129,71.0,0.5503875968992248
2017-08,4,1,129,55.0,0.4263565891472868
2017-08,5,1,129,57.0,0.4418604651162791
2017-08,6,1,129,64.0,0.49612403100775193
2017-09,0,1,127,127.0,1.0
2017-09,1,1,127,67.0,0.5275590551181102
2017-09,2,1,127,69.0,0.5433070866141733
2017-09,3,1,127,59.0,0.4645669291338583
2017-09,4,1,127,63.0,0.49606299212598426
2017-09,5,1,127,51.0,0.4015748031496063
2017-09,6,1,127,57.0,0.44881889763779526
2017-10,0,1,147,147.0,1.0
2017-10,1,1,147,97.0,0.6598639455782312
2017-10,2,1,147,81.0,0.5510204081632653
2017-10,3,1,147,83.0,0.564625850340136
2017-10,4,1,147,70.0,0.47619047619047616
2017-10,5,1,147,71.0,0.48299319727891155
2017-10,6,1,147,71.0,0.48299319727891155
2017-11,0,1,190,190.0,1.0
2017-11,1,1,190,99.0,0.5210526315789473
2017-11,2,1,190,105.0,0.5526315789473685
2017-11,3,1,190,83.0,0.4368421052631579
2017-11,4,1,190,88.0,0.4631578947368421
2017-11,5,1,190,81.0,0.4263157894736842
2017-11,6,1,190,71.0,0.3736842105263158
2017-12,0,1,90,90.0,1.0
2017-12,1,1,90,52.0,0.5777777777777777
2017-12,2,1,90,47.0,0.5222222222222223
2017-12,3,1,90,48.0,0.5333333333333333
2017-12,4,1,90,41.0,0.45555555555555555
2017-12,5,1,90,39.0,0.43333333333333335
2017-12,6,1,90,33.0,0.36666666666666664
2018-01,0,1,141,141.0,1.0
2018-01,1,1,141,81.0,0.574468085106383
2018-01,2,1,141,71.0,0.5035460992907801
2018-01,3,1,141,80.0,0.5673758865248227
2018-01,4,1,141,64.0,0.45390070921985815
2018-01,5,1,141,66.0,0.46808510638297873
2018-01,6,1,141,57.0,0.40425531914893614
2018-02,0,1,120,120.0,1.0
2018-02,1,1,120,63.0,0.525
2018-02,2,1,120,63.0,0.525
2018-02,3,1,120,55.0,0.4583333333333333
2018-02,4,1,120,52.0,0.43333333333333335
2018-02,5,1,120,60.0,0.5
2018-02,6,1,120,48.0,0.4
2018-03,0,1,113,113.0,1.0
2018-03,1,1,113,68.0,0.6017699115044248
2018-03,2,1,113,60.0,0.5309734513274337
2018-03,3,1,113,59.0,0.5221238938053098
2018-03,4,1,113,50.0,0.4424778761061947
