origin_group,age_month,eligible_flag,cohort_sellers,retained_sellers,retention_rate
direct_traffic,0,1,31,31,1.0
direct_traffic,1,1,31,16,0.5161290322580645
direct_traffic,2,1,28,14,0.5
direct_traffic,3,1,22,9,0.4090909090909091
direct_traffic,4,1,16,6,0.375
direct_traffic,5,1,10,3,0.3
direct_traffic,6,1,4,1,0.25
display,0,1,2,2,1.0
display,1,1,2,1,0.5
display,2,1,2,1,0.5
display,3,1,1,1,1.0
display,4,1,1,1,1.0
display,5,1,1,0,0.0
display,6,0,0,0,
email,0,1,6,6,1.0
email,1,1,6,3,0.5
email,2,1,6,1,0.16666666666666666
email,3,1,5,1,0.2
email,4,1,4,0,0.0
email,5,1,2,0,0.0
email,6,1,1,0,0.0
organic_search,0,1,113,113,1.0
organic_search,1,1,113,60,0.5309734513274337
organic_search,2,1,102,62,0.6078431372549019
organic_search,3,1,88,38,0.4318181818181818
organic_search,4,1,63,21,0.3333333333333333
organic_search,5,1,32,8,0.25
organic_search,6,1,16,5,0.3125
other,0,1,2,2,1.0
other,1,1,2,1,0.5
other,2,1,2,1,0.5
other,3,1,2,2,1.0
other,4,1,2,0,0.0
other,5,0,0,0,
other,6,0,0,0,
paid_search,0,1,101,101,1.0
paid_search,1,1,101,46,0.45544554455445546
paid_search,2,1,88,48,0.5454545454545454
paid_search,3,1,73,34,0.4657534246575342
paid_search,4,1,50,26,0.52
paid_search,5,1,34,9,0.2647058823529412
paid_search,6,1,16,3,0.1875
referral,0,1,9,9,1.0
referral,1,1,9,6,0.6666666666666666
referral,2,1,9,6,0.6666666666666666
referral,3,1,8,4,0.5
referral,4,1,5,1,0.2
referral,5,1,2,1,0.5
referral,6,1,1,1,1.0
social,0,1,31,31,1.0
social,1,1,31,21,0.6774193548387096
social,2,1,29,13,0.4482758620689655
social,3,1,22,7,0.3181818181818182
social,4,1,12,4,0.3333333333333333
social,5,1,8,3,0.375
social,6,1,4,2,0.5
unknown,0,1,85,85,1.0
unknown,1,1,85,48,0.5647058823529412
unknown,2,1,75,44,0.5866666666666667
unknown,3,1,60,31,0.5166666666666667
unknown,4,1,46,17,0.3695652173913043
unknown,5,1,28,12,0.42857142857142855
unknown,6,1,13,5,0.38461538461538464
